wheel_index,slip_ratio,angular_velocity,linear_speed,current_brake_torque,current_drive_torque,desired_brake_torque,desired_drive_torque,speed_to_velocity_ratio,excess_drive_torque,slip_deviation
3,0.00260107,55.6033,16.6377,0,15.1608,0,15.4962,0.2992214437052937,-0.3353999999999999,-0.09739893000000001
0,0.00133126,55.5413,16.6402,0,15.5,0,15.8392,0.2996004720883294,-0.33919999999999995,-0.09866874
1,0.00133126,55.5413,16.6402,0,15.5,0,15.8392,0.2996004720883294,-0.33919999999999995,-0.09866874
2,0.00133126,55.5413,16.6402,0,15.5,0,15.8392,0.2996004720883294,-0.33919999999999995,-0.09866874
3,0.00133126,55.5413,16.6402,0,15.5,0,15.8392,0.2996004720883294,-0.33919999999999995,-0.09866874
0,0.00206523,55.5863,16.6415,0,15.837,0,16.174,0.2993813169903139,-0.33699999999999974,-0.09793477
1,0.00206523,55.5863,16.6415,0,15.837,0,16.174,0.2993813169903139,-0.33699999999999974,-0.09793477
2,0.00206523,55.5863,16.6415,0,15.837,0,16.174,0.2993813169903139,-0.33699999999999974,-0.09793477
3,0.00206523,55.5863,16.6415,0,15.837,0,16.174,0.2993813169903139,-0.33699999999999974,-0.09793477
0,0.00173447,55.5747,16.6435,0,16.175,0,16.513,0.29947979387239526,-0.33800000000000097,-0.09826553
1,0.00173447,55.5747,16.6435,0,16.175,0,16.513,0.29947979387239526,-0.33800000000000097,-0.09826553
2,0.00173447,55.5747,16.6435,0,16.175,0,16.513,0.29947979387239526,-0.33800000000000097,-0.09826553
3,0.00173447,55.5747,16.6435,0,16.175,0,16.513,0.29947979387239526,-0.33800000000000097,-0.09826553
0,0.00197084,55.5934,16.6452,0,16.5123,0,16.8496,0.29940963676606147,-0.33729999999999905,-0.09802916
1,0.00197084,55.5934,16.6452,0,16.5123,0,16.8496,0.29940963676606147,-0.33729999999999905,-0.09802916
2,0.00197084,55.5934,16.6452,0,16.5123,0,16.8496,0.29940963676606147,-0.33729999999999905,-0.09802916
3,0.00197084,55.5934,16.6452,0,16.5123,0,16.8496,0.29940963676606147,-0.33729999999999905,-0.09802916
0,0.0019061,55.5962,16.6471,0,16.8498,0,17.1873,0.29942873254954955,-0.33750000000000213,-0.09809390000000001
1,0.0019061,55.5962,16.6471,0,16.8498,0,17.1873,0.29942873254954955,-0.33750000000000213,-0.09809390000000001
2,0.0019061,55.5962,16.6471,0,16.8498,0,17.1873,0.29942873254954955,-0.33750000000000213,-0.09809390000000001
3,0.0019061,55.5962,16.6471,0,16.8498,0,17.1873,0.29942873254954955,-0.33750000000000213,-0.09809390000000001
0,0.00200118,55.6077,16.649,0,17.187,0,17.5242,0.2994009768539074,-0.3371999999999993,-0.09799882
1,0.00200118,55.6077,16.649,0,17.187,0,17.5242,0.2994009768539074,-0.3371999999999993,-0.09799882
2,0.00200118,55.6077,16.649,0,17.187,0,17.5242,0.2994009768539074,-0.3371999999999993,-0.09799882
3,0.00200118,55.6077,16.649,0,17.187,0,17.5242,0.2994009768539074,-0.3371999999999993,-0.09799882
0,0.00201159,55.6147,16.6509,0,17.5242,0,17.8613,0.299397456079104,-0.3370999999999995,-0.09798841000000001
1,0.00201159,55.6147,16.6509,0,17.5242,0,17.8613,0.299397456079104,-0.3370999999999995,-0.09798841000000001
2,0.00201159,55.6147,16.6509,0,17.5242,0,17.8613,0.299397456079104,-0.3370999999999995,-0.09798841000000001
3,0.00201159,55.6147,16.6509,0,17.5242,0,17.8613,0.299397456079104,-0.3370999999999995,-0.09798841000000001
0,0.00206681,55.6243,16.6529,0,17.8612,0,18.1982,0.2993817396464901,-0.33699999999999974,-0.09793319
1,0.00206681,55.6243,16.6529,0,17.8612,0,18.1982,0.2993817396464901,-0.33699999999999974,-0.09793319
2,0.00206681,55.6243,16.6529,0,17.8612,0,18.1982,0.2993817396464901,-0.33699999999999974,-0.09793319
3,0.00206681,55.6243,16.6529,0,17.8612,0,18.1982,0.2993817396464901,-0.33699999999999974,-0.09793319
0,0.00209835,55.6328,16.6549,0,18.1981,0,18.535,0.29937194785500737,-0.3369,-0.09790165
1,0.00209835,55.6328,16.6549,0,18.1981,0,18.535,0.29937194785500737,-0.3369,-0.09790165
2,0.00209835,55.6328,16.6549,0,18.1981,0,18.535,0.29937194785500737,-0.3369,-0.09790165
3,0.00209835,55.6328,16.6549,0,18.1981,0,18.535,0.29937194785500737,-0.3369,-0.09790165
0,0.00214239,55.642,16.6569,0,18.5349,0,18.8716,0.2993583929521154,-0.33670000000000044,-0.09785761000000001
1,0.00214239,55.642,16.6569,0,18.5349,0,18.8716,0.2993583929521154,-0.33670000000000044,-0.09785761000000001
2,0.00214239,55.642,16.6569,0,18.5349,0,18.8716,0.2993583929521154,-0.33670000000000044,-0.09785761000000001
3,0.00214239,55.642,16.6569,0,18.5349,0,18.8716,0.2993583929521154,-0.33670000000000044,-0.09785761000000001
0,0.00217984,55.6511,16.659,0,18.8715,0,19.2082,0.29934717733616806,-0.33670000000000044,-0.09782016
1,0.00217984,55.6511,16.659,0,18.8715,0,19.2082,0.29934717733616806,-0.33670000000000044,-0.09782016
2,0.00217984,55.6511,16.659,0,18.8715,0,19.2082,0.29934717733616806,-0.33670000000000044,-0.09782016
3,0.00217984,55.6511,16.659,0,18.8715,0,19.2082,0.29934717733616806,-0.33670000000000044,-0.09782016
0,0.00222075,55.6604,16.6611,0,19.2081,0,19.5446,0.2993348898079265,-0.33649999999999736,-0.09777925000000001
1,0.00222075,55.6604,16.6611,0,19.2081,0,19.5446,0.2993348898079265,-0.33649999999999736,-0.09777925000000001
2,0.00222075,55.6604,16.6611,0,19.2081,0,19.5446,0.2993348898079265,-0.33649999999999736,-0.09777925000000001
3,0.00222075,55.6604,16.6611,0,19.2081,0,19.5446,0.2993348898079265,-0.33649999999999736,-0.09777925000000001
